,MLNN,RNN,LSTM,GA-MLNN,PSO-MLNN,ABFO-MLNN,CRO-MLNN,OCRO-MLNN,,,,,,,,,,,,,
sliding window k = 2,19.1481,16.0111,15.9029,19.7204,15.6123,19.5867,16.093,15.5547,,,,,,,,,,,,,
,17.5971,16.3654,15.9572,18.0674,15.5879,16.2747,15.8953,15.5523,,,,,,,,,,,,,
,27.251,16.5124,16.0049,18.4616,15.5897,17.6248,15.8327,15.5467,,,,,,,,,,,,,
,15.8611,16.0283,16.0261,17.109,15.6354,18.6302,16.4715,15.5667,,,,,,,,,,,,,
,17.5899,16.0049,16.2589,18.2485,15.5847,17.6985,15.5566,15.5359,,,,,,,,,,,,,
,16.2584,16.0261,16.0302,16.9805,15.9999,16.4171,15.856,15.5222,,,,,,,,,,,,,
,18.373,16.2589,16.0257,16.8939,15.6485,16.0123,15.7796,15.5251,,,,,,,,,,,,,
,16.6053,19.327,16.0128,18.8983,15.7205,16.1799,15.6081,15.5151,,,,,,,,,,,,,
,30.4864,20.0478,15.6684,15.6013,15.5566,17.9332,15.5728,15.5451,,,,,,,,,,,,,
,19.3279,18.5722,15.585,15.5587,15.856,16.6838,16.2584,15.5548,,,,,,,,,,,,,
,21.11,19.6058,16.048,17.5409,15.7796,16.5248,15.8245,15.5563,,,,,,,,,,,,,
,17.0815,20.984,16.0111,15.7492,15.6081,15.9053,15.6163,15.5509,,,,,,,,,,,,,
,17.5635,19.7137,16.3654,16.54,15.5728,15.9332,15.55,15.5393,,,,,,,,,,,,,
,16.216,18.7812,16.5124,16.2895,16.2584,16.3219,15.5244,15.5495,,,,,,,,,,,,,
,17.8656,16.048,16.0283,15.6215,15.6068,18.866,15.8909,15.5465,,,,,,,,,,,,,
sliding window k = 5,26.0062,21.908,16.0049,17.0235,17.8479,20.2778,17.8479,15.996,,,,,,,,,,,,,
,26.1088,18.8857,16.0261,17.4617,15.6665,23.4067,15.6665,15.4654,,,,,,,,,,,,,
,30.7341,19.3179,16.2589,15.9167,15.8836,16.4715,15.8836,15.3189,,,,,,,,,,,,,
,23.3203,20.1886,16.2747,17.6679,16.2603,25.7909,16.2603,15.6482,,,,,,,,,,,,,
,30.1786,19.047,17.6248,18.9475,16.1763,21.8259,16.1763,15.8992,,,,,,,,,,,,,
,28.7534,19.2074,18.6302,18.2393,17.8479,20.3936,16.0322,15.5728,,,,,,,,,,,,,
,22.7741,21.908,17.6985,17.8731,16.2037,23.3152,15.9984,15.3636,,,,,,,,,,,,,
,27.3887,16.0302,16.4171,17.2651,16.625,19.8224,15.5357,15.4855,,,,,,,,,,,,,
,25.3408,16.0257,16.0123,18.5777,15.4571,24.9074,15.8207,15.5461,,,,,,,,,,,,,
,25.6445,16.0128,16.1799,16.1488,15.7363,24.2145,16.01,15.6398,,,,,,,,,,,,,
,23.2802,16.1071,15.8722,17.5681,15.5209,22.3469,16.2486,15.6994,,,,,,,,,,,,,
,16.2603,16.0187,15.7024,15.9205,15.8586,19.7731,15.9298,15.8499,,,,,,,,,,,,,
,31.9792,16.0753,15.8362,17.8022,15.4535,21.0296,16.4001,15.3013,,,,,,,,,,,,,
,26.4881,16.048,16.048,15.6322,15.6971,21.8888,16.3727,15.448,,,,,,,,,,,,,
,20.5397,16.0111,16.0111,20.7341,15.3195,17.109,15.6456,15.312,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
min,15.8611,16.0049,15.585,15.5587,15.5566,15.9053,15.5244,15.5151,,,,,,,,,,,,,
max,30.4864,20.984,16.5124,19.7204,16.2584,19.5867,16.4715,15.5667,,,,,,,,,,,,,
mean,19.2223,17.7525,16.0292,17.152,15.7078,17.1062,15.822,15.5441,,,,,,,,,,,,,
std,4.1926,1.8485,0.2314,1.3099,0.1961,1.1966,0.278,0.0142,,,,,,,,,,,,,
cv,0.2181,0.1041,0.0144,0.0764,0.0125,0.07,0.0176,0.0009,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
min,16.2603,16.0111,15.7024,15.6322,15.3195,16.4715,15.5357,15.3013,,,,,,,,,,,,,
max,31.9792,21.908,18.6302,20.7341,17.8479,25.7909,17.8479,15.996,,,,,,,,,,,,,
mean,25.6531,17.9194,16.4398,17.5186,16.1036,21.5049,16.1219,15.5697,,,,,,,,,,,,,
std,4.0866,2.2523,0.8462,1.3395,0.7924,2.6538,0.5448,0.2194,,,,,,,,,,,,,
cv,0.1593,0.1257,0.0515,0.0765,0.0492,0.1234,0.0338,0.0141,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15.8611,30.4864,19.2223,4.1926,0.2181,,,16.2603,31.9792,25.6531,4.0866,0.1593
,,,,,,,,,,16.0049,20.984,17.7525,1.8485,0.1041,,,16.0111,21.908,17.9194,2.2523,0.1257
,,,,,,,,,,15.585,16.5124,16.0292,0.2314,0.0144,,,15.7024,18.6302,16.4398,0.8462,0.0515
,,,,,,,,,,15.5587,19.7204,17.152,1.3099,0.0764,,,15.6322,20.7341,17.5186,1.3395,0.0765
,,,,,,,,,,15.5566,16.2584,15.7078,0.1961,0.0125,,,15.3195,17.8479,16.1036,0.7924,0.0492
,,,,,,,,,,15.9053,19.5867,17.1062,1.1966,0.07,,,16.4715,25.7909,21.5049,2.6538,0.1234
,,,,,,,,,,15.5244,16.4715,15.822,0.278,0.0176,,,15.5357,17.8479,16.1219,0.5448,0.0338
,,,,,,,,,,15.5151,15.5667,15.5441,0.0142,0.0009,,,15.3013,15.996,15.5697,0.2194,0.0141
