,MLNN,RNN,LSTM,GA-MLNN,PSO-MLNN,ABFO-MLNN,CRO-MLNN,OCRO-MLNN
Sliding window k = 2,0.5503,0.519,0.4877,0.4631,0.4441,0.4496,0.4386,0.4474
Sliding window k = 2,0.6579,0.4866,0.4929,0.4545,0.4605,0.5086,0.4495,0.4458
Sliding window k = 2,0.5113,0.4857,0.4845,0.4533,0.4512,0.5503,0.4445,0.4472
Sliding window k = 2,0.5091,0.4973,0.4888,0.4489,0.443,0.4889,0.4526,0.4485
Sliding window k = 2,0.4651,0.5064,0.4835,0.449,0.4555,0.5061,0.453,0.4461
Sliding window k = 2,0.4563,0.5918,0.4882,0.4529,0.4421,0.4801,0.4503,0.448
Sliding window k = 2,0.6227,0.5054,0.4804,0.453,0.4519,0.5788,0.4475,0.4484
Sliding window k = 2,0.5267,0.5171,0.4779,0.4592,0.4536,0.4423,0.4473,0.4392
Sliding window k = 2,0.4689,0.4757,0.4631,0.46,0.4436,0.5359,0.4457,0.4499
Sliding window k = 2,0.5537,0.4805,0.4545,0.4511,0.4523,0.5504,0.4489,0.4482
Sliding window k = 2,0.4683,0.5378,0.4533,0.4499,0.4497,0.5163,0.4513,0.4485
Sliding window k = 2,0.5044,0.4778,0.4489,0.4522,0.4448,0.5425,0.4545,0.4523
Sliding window k = 2,0.4684,0.5503,0.449,0.4457,0.4528,0.5705,0.4462,0.4491
Sliding window k = 2,0.4926,0.4461,0.4529,0.4531,0.4521,0.4927,0.4517,0.4454
Sliding window k = 2,0.5918,0.5113,0.453,0.4392,0.4445,0.4659,0.4465,0.4475
Sliding window k = 5,0.4845,0.5091,0.4592,0.4703,0.4471,0.5268,0.4539,0.4461
Sliding window k = 5,0.5045,0.4651,0.46,0.4614,0.4594,0.5198,0.4493,0.4519
Sliding window k = 5,0.4672,0.4563,0.4511,0.4476,0.4586,0.5045,0.4443,0.4482
Sliding window k = 5,0.6425,0.5503,0.4499,0.4436,0.4524,0.4518,0.4525,0.452
Sliding window k = 5,0.6012,0.4631,0.4631,0.4426,0.4568,0.5042,0.4484,0.4467
Sliding window k = 5,0.4659,0.4545,0.4545,0.4863,0.4627,0.5848,0.4634,0.4504
Sliding window k = 5,0.672,0.4533,0.4533,0.4771,0.4446,0.5857,0.4428,0.4481
Sliding window k = 5,0.7096,0.4489,0.4877,0.4509,0.4503,0.4505,0.4539,0.441
Sliding window k = 5,0.7135,0.449,0.4929,0.4462,0.4502,0.4949,0.4483,0.4556
Sliding window k = 5,0.6683,0.4529,0.4845,0.4362,0.4559,0.4903,0.454,0.4396
Sliding window k = 5,0.6326,0.453,0.4888,0.442,0.4444,0.614,0.4466,0.4567
Sliding window k = 5,0.5882,0.4631,0.4835,0.4696,0.458,0.489,0.4485,0.4505
Sliding window k = 5,0.6675,0.4545,0.4882,0.4537,0.4592,0.5042,0.4447,0.44
Sliding window k = 5,0.523,0.4533,0.4877,0.4623,0.4611,0.5794,0.4514,0.4571
Sliding window k = 5,0.5042,0.4489,0.4929,0.445,0.4445,0.6528,0.4521,0.4541
